timestamp,open,high,low,close,volume,rsi,macd,macd_signal,ema_9,ema_21,atr,obi,whale_flow,liq_heatmap_density,btc_dominance,funding_rate,pivot,res1,sup1,local_res,local_sup,obv,force_index
2025-10-15 11:00:00,112266.7,112600.0,111693.26,111905.73,766.17498,41.22081317890457,-86.6322441562661,-38.965049542541216,112416.31852824023,112506.79106812009,759.5265766020393,-0.48973488684465144,-0.025105084883683532,0.012852638874778,0.005316043860797981,0.0,112328.39333333333,112583.92666666665,112011.17666666665,113612.35,109866.0,-1086.1756699999996,-276573.84428040806
2025-10-15 12:00:00,111905.72,112085.68,111400.0,111711.25,1005.50463,39.13615129033995,-139.37705932673998,-59.04745149938097,112275.30482259218,112434.46915283643,748.9770656588898,0.15572323280743045,0.060732521138298384,0.01468730886521042,0.008194432511384075,0.0,112066.33,112439.40000000001,111532.66,113612.35,109866.0,-2091.6802999999995,-195550.5404423959
2025-10-15 13:00:00,111711.25,112011.75,110725.4,111389.0,1971.0633,35.89666711369475,-204.81955486684456,-88.20187217287369,112098.04385807375,112339.42650257857,825.7446277076207,2.714360245750428,-0.016001307244829455,0.017568896096882402,0.0033745177876955967,0.0,111732.31,112064.62,111378.94,113612.35,110725.4,-4062.7436,-635175.148425
2025-10-15 14:00:00,111389.01,112238.41,110800.0,111059.76,1777.74911,32.90025614454002,-280.02219889551634,-126.56593751740223,111890.38708645901,112223.09318416232,913.2682523208183,1.9476545192794184,-0.041307738686456805,0.020972469415519595,-0.0033692223490224826,0.0,111375.38333333335,112025.3666666667,110739.01666666669,113612.35,110725.4,-5840.4927099999995,-585306.1169764093
2025-10-15 15:00:00,111059.77,111588.69,110400.0,110798.01,1836.18334,30.705802159333388,-356.6308550559188,-172.57892102510556,111671.91166916721,112093.54016742029,952.6142162749875,1.9990322432397356,-0.05287864649101458,0.024743847518911816,-0.01862189541705017,0.0,111366.05666666666,111932.11333333331,110493.70333333331,113612.35,110400.0,-7676.67605,-480620.989245
2025-10-15 16:00:00,110798.01,111125.18,110602.8,110748.0,830.13195,30.290099552619353,-416.5771143832244,-221.37855969672933,111487.12933533378,111971.21833401844,891.1521853785592,-0.37241716869633773,-0.09829681626356679,0.027319606314085663,-0.014073234805347834,0.0,110928.90000000001,111457.80000000002,110269.11000000002,113612.35,110400.0,-8506.808,-41514.89881949565
2025-10-15 17:00:00,110748.0,111186.78,110164.0,111186.78,1335.06163,38.19603543566633,-423.79384617091273,-261.86161699156605,111427.05946826703,111899.90575819858,909.9561588959077,0.7423648934187669,-0.050633065754033674,0.027584241517877355,-0.014082823520148113,0.32473535797625247,110825.32666666666,111047.85333333332,110525.47333333333,113612.35,110164.0,-7171.746370000001,585798.3420113984
2025-10-15 18:00:00,111186.77,111512.41,110826.21,111444.76,562.70484,42.33680822878366,-404.0388201222813,-290.29705761770913,111430.59957461363,111858.52887108961,877.9909933393491,-1.105800665673558,-0.029589177340394988,0.026678906534725908,-0.01255168287888797,0.49481709847641037,110845.85333333333,111527.70666666667,110504.92666666667,113612.35,110164.0,-6609.04153,145166.5946231977
2025-10-15 19:00:00,111444.76,111557.7,111099.33,111271.73,589.84937,40.38256326618103,-397.75976757568424,-311.78959960930416,111398.82565969092,111805.18351917237,818.0451371480128,-1.063295865180726,-0.01472501581215229,0.026154915426588595,-0.011916578533517685,0.4145467235464949,111261.12666666666,111696.04333333332,111009.84333333332,113612.35,110164.0,-7198.8909,-102061.63649109931
2025-10-15 20:00:00,111271.73,111556.27,110515.84,111109.76,852.76487,38.58700375877653,-401.22809087875066,-329.6772978631935,111341.01252775274,111741.96319924759,849.8144032697263,-0.3971756756227233,-0.03740805578600418,0.02561420658207097,-0.01666574182955083,0.3407943344517403,111309.58666666667,111519.84333333334,111061.47333333334,113612.35,110164.0,-8051.65577,-138122.325993901
2025-10-15 21:00:00,111109.77,111424.69,110500.0,110854.19,779.36355,35.876349420356874,-419.7603887272562,-347.69391603600604,111243.64802220221,111661.25654477054,860.5109170883371,-0.5602838975999584,-0.05572161538939375,0.025864742170088592,-0.020105508151335605,0.22945453610805075,111060.62333333334,111605.40666666668,110564.97666666667,113612.35,110164.0,-8831.01932,-199181.9424734941
