type,direction,price,step,rsi,macd,atr,obi,funding,whale_flow,exit_price,profit,result,duration
ENTRY,LONG,66280.25,29,45.40418415781459,-108.90803543949733,462.7551804484893,0.8403794894188179,-8.145894609620509e-05,-0.0332541798131209,66653.74,4.602601585767843,WIN,1
ENTRY,LONG,67121.01,31,60.666640717544176,-16.796885128642316,497.9318137540541,0.7672318814346607,-0.0001444962276252,-0.011207186320594,67173.8,-0.2131344174104015,LOSS,1
ENTRY,LONG,67616.29,33,67.10565252816548,112.38970550632804,486.43860471650606,0.8267459042116693,-9.260000982550348e-05,-0.0347031610126853,67492.46,-2.81384591652386,LOSS,1
ENTRY,LONG,67305.14,35,60.08891089986948,182.3425083803595,465.13410304637534,0.7631234084856008,-0.0001092061733619,0.031871017015586,67624.39,3.716429993064594,WIN,1
ENTRY,LONG,67666.44,37,64.86037471598695,254.6705602266302,451.7486398716196,0.751192175279085,-0.0001477547590048,-0.0428327135200626,67495.46,-3.504359342774478,LOSS,1
ENTRY,LONG,67488.53,39,60.73798779638886,266.6540892907069,416.62765376685473,0.7610422716026114,-7.595225686769567e-05,0.0400033750175052,67680.45,1.829665233477499,WIN,1
ENTRY,LONG,67899.59,41,66.63566382408993,307.3838139823056,418.3761402377471,0.8668104325236481,0.0001154108090577,-0.034468989200046,67529.52,-6.40601480688747,LOSS,1
ENTRY,LONG,67799.54,43,61.837127169887445,302.8523643220251,465.3073862254042,0.7686706030875841,-0.000224367519534,-0.0206312279321045,67629.4,-3.4832450090398197,LOSS,1
ENTRY,LONG,67368.1,45,52.9428010484408,259.7797389110783,463.6348381229244,0.8478233827816501,-1.7044289279356882e-05,0.0126819801502474,66828.02,-8.943913866462026,LOSS,1
ENTRY,LONG,66653.46,47,41.72098397641346,116.21104455513704,483.9025900141534,0.8126700179802002,3.391209464168309e-06,0.0308784678825032,66550.05,-2.528996837732848,LOSS,1
ENTRY,LONG,66651.4,49,42.36571494936033,5.931576003014925,457.8391720019995,0.8667362156767984,-0.0001242453376046,0.0014490500398213,66809.3,1.3549856640966027,WIN,1
ENTRY,LONG,66784.98,51,45.10127506908416,-35.286683561920654,443.5672962670299,0.8545222908996988,-0.0001053189833574,0.0154279066821022,66797.37,-0.8077273599828914,LOSS,1
ENTRY,LONG,67208.75,53,53.50767713255133,-26.109946970958845,461.70930137310353,0.8159633636730225,-0.0002915464900361,-0.0309385971858402,67938.54,9.76206639616612,WIN,1
ENTRY,LONG,67943.43,55,63.865210657780864,109.8470592219237,511.18031597986976,0.7853119152167807,3.742416593243373e-05,-0.0189415844102688,67704.74,-4.474298583229029,LOSS,1
ENTRY,LONG,67544.01,57,55.79006890126931,142.59326739962853,505.72246632958246,0.7841001570004801,-5.837704992898658e-05,0.0117087545489383,67681.68,1.0275205353245838,WIN,1
ENTRY,LONG,67492.85,59,54.120140848099545,151.26872362630093,488.2611061719358,0.7655175100591152,1.7308881861260012e-05,-0.0324783527921919,67367.69,-2.82871234790764,LOSS,1
ENTRY,LONG,66778.33,61,42.2866634731172,73.9555546487536,506.6117190972301,0.8057509224453934,-7.632912830743398e-05,-0.0416037229645648,66124.99,-10.679726185671825,LOSS,1
ENTRY,LONG,66363.38,63,39.007289448214784,-86.67414034344256,524.7653088134284,0.855600097261128,-6.18389956491513e-05,-0.0103249430587801,66685.69,3.8137131635430706,WIN,1
ENTRY,LONG,66653.26,65,43.91822125189355,-123.88740529413916,527.6822305585167,0.8033896791048517,-3.011785653483801e-05,-0.0404795671429279,67302.29,8.643637882838448,WIN,1
ENTRY,LONG,66587.45,67,44.47731293443068,-109.01300715342222,601.0617702264764,0.8031694251784665,-0.0001292517190181,0.0128110985513827,66736.8,1.2296761455818341,WIN,1
ENTRY,LONG,67665.83,69,56.89049097566215,-44.91947113422793,657.3345875932379,0.8152179776791866,1.1576399724722952e-05,-0.0339104618012384,67526.75,-3.026350550691859,LOSS,1
ENTRY,LONG,67854.05,71,58.36887248511737,60.75604920534533,675.5454352207,0.8108158062803311,0.0001289489190001,0.0385761820866505,67838.8,-1.213206648510095,LOSS,1
ENTRY,LONG,68265.53,73,62.23168702164508,175.5029706430505,634.3619313892774,0.9218919702005838,0.0001269687881184,0.0345753666947553,68277.99,-0.8099238277645782,LOSS,1
ENTRY,LONG,68172.87,75,60.66542314966061,258.87347984568623,608.9465632897343,0.9259603023706268,3.0753762594797045e-05,-0.008803543356075,68284.48,0.6293970570113743,WIN,1
ENTRY,LONG,68330.75,77,62.34503301617949,312.4583993435954,578.7257612039042,0.8313519625103725,-2.167213931840885e-06,-0.006684990414589,67782.73,-8.924874024714882,LOSS,1
ENTRY,LONG,67668.89,79,51.707878860038726,249.0312385860016,563.9586920584679,0.845049972741102,4.1558793239888994e-05,-0.0128683490544861,68170.67,6.339444453200485,WIN,1
ENTRY,LONG,68303.83,81,59.43104295231869,274.44731462992786,558.4513722340866,0.740908653810638,-0.0002133843722227,0.0345826549134719,68456.02,1.2134813543889322,WIN,1
ENTRY,LONG,69102.85,83,67.38842667967988,360.3635656034603,577.4525097324522,0.8081532997595928,-3.6564002589782376e-06,0.0156224708828198,68692.0,-6.869370355107094,LOSS,1
ENTRY,LONG,68670.16,85,60.36139739018204,379.105827763502,573.5621129835937,0.7732333571300949,5.432846092319285e-05,0.0300951790517992,68644.0,-1.3655257562932093,LOSS,1
ENTRY,LONG,68585.55,87,58.9001620123906,365.5237149856548,535.5633015011593,0.7852579789147252,-0.0001171377674256,-0.0139345900833925,68712.52,0.8399568258646468,WIN,1
ENTRY,LONG,68393.6,89,54.781035185307424,331.23062561111874,515.464887518856,0.8231989100766713,8.185492756964955e-05,0.0287961567004524,68116.07,-4.997439140568531,LOSS,1
ENTRY,LONG,68593.55,91,56.8269821363734,275.6840699257009,540.1399285239108,0.8366725814355424,-7.07940679284484e-05,-0.0427899284146083,68918.52,3.6890315823857236,WIN,1
